student_id,student_name,subjects,skills,interests,target_stream_id,target_broad_pathway,archetype
STU0021,Student_21,Computer Science;Mathematics,Numerical Ability;CAD Modeling;System Architecture,Nursing & Patient Care;Technology,S09,Other,Engineering & Tech Aspirant
STU0022,Student_22,Computer Science;Applied Mathematics;Mathematics;Physics,Numerical Ability;Problem Solving,Engineering;Artificial Intelligence & Data;Cybersecurity & Networks;Animation & Motion Graphics,S01,Science,Engineering & Tech Aspirant
STU0023,Student_23,Chemistry;Mathematics;Computer Science;Physics,Problem Solving;Logical Thinking;Numerical Ability,Artificial Intelligence & Data;Technology,S01,Science,Engineering & Tech Aspirant
STU0024,Student_24,Computer Science;Chemistry;Applied Mathematics;Physics,System Architecture;Problem Solving;Programming,Technology;Cybersecurity & Networks;Artificial Intelligence & Data,S01,Science,Engineering & Tech Aspirant
STU0025,Student_25,Physics;Mathematics;Chemistry,Numerical Ability;Problem Solving;System Architecture;Logical Thinking,Robotics & Automation;Cybersecurity & Networks,S01,Science,Engineering & Tech Aspirant
STU0026,Student_26,Computer Science;Chemistry;Physics;Applied Mathematics,System Administration;Programming;Logical Thinking;Problem Solving,Media & Communication;Robotics & Automation;Technology;Cybersecurity & Networks,S09,Other,Engineering & Tech Aspirant
STU0027,Student_27,Chemistry;Physical Education,System Architecture;Numerical Ability;Programming;Logical Thinking,Robotics & Automation;Cybersecurity & Networks;Technology;Mathematics & Statistics,S01,Science,Engineering & Tech Aspirant
STU0028,Student_28,Applied Mathematics;Chemistry;Physics;Computer Science,Programming;Numerical Ability;System Architecture,Robotics & Automation;Artificial Intelligence & Data;Engineering,S01,Science,Engineering & Tech Aspirant
STU0029,Student_29,Ecology & Conservation;Chemistry;Physics;Computer Science,Programming;Numerical Ability;Problem Solving,Robotics & Automation;Cybersecurity & Networks;Engineering,S01,Science,Engineering & Tech Aspirant
STU0030,Student_30,Chemistry;Applied Mathematics;Physics;Computer Science,System Architecture;Copywriting;Problem Solving,Artificial Intelligence & Data;Robotics & Automation;Technology;Cybersecurity & Networks,S05,Commerce,Engineering & Tech Aspirant
STU0031,Student_31,Chemistry;Mathematics;Applied Mathematics,Problem Solving;Numerical Ability;Logical Thinking;System Architecture,Robotics & Automation;Cybersecurity & Networks;Engineering;Artificial Intelligence & Data,S01,Science,Engineering & Tech Aspirant
STU0032,Student_32,Physics;Chemistry;Computer Science;Applied Mathematics,Programming;Translation,Robotics & Automation;Technology;History & Culture;Artificial Intelligence & Data,S01,Science,Engineering & Tech Aspirant
STU0033,Student_33,Environmental Science;Chemistry;Applied Mathematics;Mathematics,Diagnostic Acumen;Logical Thinking,Engineering;Technology;Artificial Intelligence & Data,S01,Science,Engineering & Tech Aspirant
STU0034,Student_34,Applied Mathematics;Computer Science;Mathematics,Logical Thinking;System Architecture;Numerical Ability,Hospitality & Tourism;Robotics & Automation,S01,Science,Engineering & Tech Aspirant
STU0035,Student_35,Mathematics;Applied Mathematics;Physics;Computer Science,Numerical Ability;Programming;Logical Thinking;System Architecture,Artificial Intelligence & Data;Public Policy & Governance;Robotics & Automation,S01,Science,Engineering & Tech Aspirant
STU0036,Student_36,Chemistry;Computer Science;Physiotherapy Basics,System Architecture;Programming,Engineering;E-Commerce & Digital Business;Artificial Intelligence & Data,S08,Other,Engineering & Tech Aspirant
STU0037,Student_37,Mathematics;Chemistry;Applied Mathematics;Physics,Logical Thinking;Problem Solving,Engineering;Cybersecurity & Networks,S01,Science,Engineering & Tech Aspirant
STU0038,Student_38,Applied Mathematics;Mathematics;Physics,Numerical Ability;Entrepreneurial Thinking;Programming;Problem Solving,Engineering;Artificial Intelligence & Data;Technology;Robotics & Automation,S01,Science,Engineering & Tech Aspirant
STU0039,Student_39,Computer Science;Physics;Entrepreneurship,Numerical Ability;System Architecture;Logical Thinking;Programming,Robotics & Automation;Engineering;Technology;Artificial Intelligence & Data,S01,Science,Engineering & Tech Aspirant
STU0040,Student_40,Mathematics;Chemistry;Physics,Programming;System Architecture;Problem Solving,Artificial Intelligence & Data;Cybersecurity & Networks,S01,Science,Engineering & Tech Aspirant
STU0041,Student_41,Physics;Computer Science;Chemistry,Problem Solving;Numerical Ability;Programming,Technology;Artificial Intelligence & Data,S01,Science,Engineering & Tech Aspirant
STU0042,Student_42,Game Design;Applied Mathematics,System Architecture;Logical Thinking,Artificial Intelligence & Data;Technology;Engineering;Robotics & Automation,S01,Science,Engineering & Tech Aspirant
STU0043,Student_43,Maritime Studies;Physics;Chemistry;Applied Mathematics,Programming;Problem Solving;Rhetoric,Cybersecurity & Networks;Engineering,S01,Science,Engineering & Tech Aspirant
STU0044,Student_44,Mathematics;Applied Mathematics;Computer Science;Physics,System Architecture;Numerical Ability;Programming;Problem Solving,Technology;Artificial Intelligence & Data;Engineering;Cybersecurity & Networks,S12,Humanities,Engineering & Tech Aspirant
STU0045,Student_45,Chemistry;Commercial Arts,System Architecture;Algorithmic Thinking,Technology;Artificial Intelligence & Data,S01,Science,Engineering & Tech Aspirant
STU0046,Student_46,Physics;Computer Science,Rhetoric;System Architecture,Technology;Artificial Intelligence & Data;Engineering;Robotics & Automation,S12,Humanities,Engineering & Tech Aspirant
STU0047,Student_47,Chemistry;Corporate Governance,Problem Solving;Logical Thinking,Robotics & Automation;Technology,S01,Science,Engineering & Tech Aspirant
STU0048,Student_48,Physics;Chemistry;Applied Mathematics;Mathematics,Critical Evaluation;Programming,Cybersecurity & Networks;Technology;Mental Health & Wellbeing,S01,Science,Engineering & Tech Aspirant
STU0049,Student_49,Physics;Mathematics;Chemistry,Logical Thinking;Problem Solving,Technology;Artificial Intelligence & Data;Robotics & Automation;Cybersecurity & Networks;Retail Operations,S01,Science,Engineering & Tech Aspirant
STU0050,Student_50,Physics;Chemistry;Mathematics,Programming;System Architecture;Empathy;Numerical Ability,Artificial Intelligence & Data;Robotics & Automation,S01,Science,Engineering & Tech Aspirant
STU0051,Student_51,Physics;Biology,Analytical Thinking;Diagnostic Acumen;Observation;Empathy,Medicine & Healthcare;Biotechnology & Genetics;Public Health,S02,Science,Medical & Life Sciences Aspirant
STU0052,Student_52,Biotechnology;Biology;Physics,Scriptwriting;Observation,Medicine & Healthcare;Science & Research;Public Health,S02,Science,Medical & Life Sciences Aspirant
STU0053,Student_53,Biotechnology;Psychology;Biology;Physics,Diagnostic Acumen;Research,Public Health;Biotechnology & Genetics;Medicine & Healthcare;Pharmacy & Pharmacology,S12,Humanities,Medical & Life Sciences Aspirant
STU0054,Student_54,Chemistry;Psychology,Research;Observation,Human Rights & Advocacy;Pharmacy & Pharmacology;Medicine & Healthcare;Biotechnology & Genetics,S10,Other,Medical & Life Sciences Aspirant
STU0055,Student_55,Psychology;Biotechnology;Biology;Chemistry,Analytical Thinking;Research,Marketing & Brand Strategy;Pharmacy & Pharmacology,S02,Science,Medical & Life Sciences Aspirant
STU0056,Student_56,Biology;Chemistry,Observation;Research;Analytical Thinking;Empathy,Biotechnology & Genetics;Medicine & Healthcare;Science & Research;Pharmacy & Pharmacology,S02,Science,Medical & Life Sciences Aspirant
STU0057,Student_57,Web Development;Psychology;Chemistry,Empathy;Observation,Pharmacy & Pharmacology;Public Health;Biotechnology & Genetics;Science & Research,S02,Science,Medical & Life Sciences Aspirant
STU0058,Student_58,Biotechnology;Biology,Empathy;Data Interpretation,Public Health;Science & Research,S02,Science,Medical & Life Sciences Aspirant
STU0059,Student_59,Biology;Biotechnology,Entrepreneurial Thinking;Empathy,Medicine & Healthcare;Biotechnology & Genetics;Pharmacy & Pharmacology;Science & Research;Finance & Accounting,S02,Science,Medical & Life Sciences Aspirant
STU0060,Student_60,Physics;Biology;Biotechnology;Psychology,Empathy;Observation;Diagnostic Acumen;Analytical Thinking,Sports & Athletic Training;Medicine & Healthcare;Pharmacy & Pharmacology,S02,Science,Medical & Life Sciences Aspirant
STU0061,Student_61,Biology;Geography;Physics,Diagnostic Acumen;Empathy;Analytical Thinking,Medicine & Healthcare;Education & Pedagogy,S02,Science,Medical & Life Sciences Aspirant
STU0062,Student_62,Psychology;Biology,Diagnostic Acumen;Analytical Thinking,Biotechnology & Genetics;Economics;Science & Research,S11,Other,Medical & Life Sciences Aspirant
STU0063,Student_63,Chemistry;E-Commerce;Physics,Analytical Thinking;Empathy,Public Health;Medicine & Healthcare;Real Estate & Property,S02,Science,Medical & Life Sciences Aspirant
STU0064,Student_64,Physics;Biology;Psychology,Research;Observation,Pharmacy & Pharmacology;Psychology,S01,Science,Medical & Life Sciences Aspirant
STU0065,Student_65,Chemistry;Psychology;Physics,Research;Empathy,Public Health;Medicine & Healthcare;Pharmacy & Pharmacology,S10,Other,Medical & Life Sciences Aspirant
STU0066,Student_66,Chemistry;Political Science,Analytical Thinking;Research,Pharmacy & Pharmacology;Photography & Videography;Biotechnology & Genetics,S02,Science,Medical & Life Sciences Aspirant
STU0067,Student_67,Chemistry;Biotechnology;Biology,Research;Financial Analysis;Empathy;Diagnostic Acumen,Public Health;Pharmacy & Pharmacology;Medicine & Healthcare,S05,Commerce,Medical & Life Sciences Aspirant
STU0068,Student_68,Psychology;Physics,Observation;Circuit Design;Empathy,Pharmacy & Pharmacology;Biotechnology & Genetics;Science & Research,S02,Science,Medical & Life Sciences Aspirant
STU0069,Student_69,Psychology;Agriculture,Diagnostic Acumen;Observation;Research;Budgeting,Medicine & Healthcare;Public Health,S02,Science,Medical & Life Sciences Aspirant
STU0070,Student_70,Biotechnology;Physics;Chemistry,Analytical Thinking;Research,Medicine & Healthcare;Government & Public Service,S02,Science,Medical & Life Sciences Aspirant
STU0071,Student_71,Biology;Hindi Literature;Psychology;Chemistry,Observation;Research;Empathy;Analytical Thinking,Public Health;Science & Research,S02,Science,Medical & Life Sciences Aspirant
STU0072,Student_72,Biotechnology;Physics;Chemistry;Psychology,Creativity;Analytical Thinking;Observation,Public Health;Biotechnology & Genetics;Pharmacy & Pharmacology;Medicine & Healthcare;Photography & Videography,S02,Science,Medical & Life Sciences Aspirant
STU0073,Student_73,Biotechnology;Physics;Biology;Chemistry,Diagnostic Acumen;Analytical Thinking;Research;Empathy,Biotechnology & Genetics;Medicine & Healthcare;Public Health;Pharmacy & Pharmacology,S02,Science,Medical & Life Sciences Aspirant
STU0074,Student_74,Psychology;Music (Instrumental),Empathy;Observation;Diagnostic Acumen;Research,Biotechnology & Genetics;Medicine & Healthcare;Public Health,S02,Science,Medical & Life Sciences Aspirant
STU0075,Student_75,Political Science;Biotechnology;Chemistry;Psychology,Empathy;Programming,Medicine & Healthcare;Public Health;Biotechnology & Genetics;Science & Research,S02,Science,Medical & Life Sciences Aspirant
STU0076,Student_76,Biology;Biotechnology;Chemistry;Psychology,Project Management;Empathy;Research;Diagnostic Acumen,Biotechnology & Genetics;Pharmacy & Pharmacology,S02,Science,Medical & Life Sciences Aspirant
STU0077,Student_77,Physics;Physiotherapy Basics,Empathy;Research,Public Health;Medicine & Healthcare,S02,Science,Medical & Life Sciences Aspirant
STU0078,Student_78,Chemistry;Psychology;Biology;Physics,Cybersecurity Auditing;Analytical Thinking,Biotechnology & Genetics;Public Health;Pharmacy & Pharmacology,S02,Science,Medical & Life Sciences Aspirant
STU0079,Student_79,Physics;Taxation Principles,Analytical Thinking;Empathy,Biotechnology & Genetics;Economics;Pharmacy & Pharmacology,S01,Science,Medical & Life Sciences Aspirant
STU0080,Student_80,Biology;Biotechnology;Physics;Psychology,Observation;Research,Pharmacy & Pharmacology;Biotechnology & Genetics;Science & Research,S02,Science,Medical & Life Sciences Aspirant
STU0081,Student_81,Biotechnology;Biology;Physics,Analytical Thinking;Research;Empathy,Science & Research;Biotechnology & Genetics;Pharmacy & Pharmacology;Medicine & Healthcare,S02,Science,Medical & Life Sciences Aspirant
STU0082,Student_82,Psychology;Biology;Physics,Observation;Strategic Planning,Public Health;Medicine & Healthcare;Culinary Arts & Gastronomy,S02,Science,Medical & Life Sciences Aspirant
STU0083,Student_83,Physics;Psychology;Chemistry;Biology,Observation;Diagnostic Acumen;Observation,Biotechnology & Genetics;Pharmacy & Pharmacology;Media & Communication;Science & Research,S02,Science,Medical & Life Sciences Aspirant
STU0084,Student_84,Psychology;Supply Chain Management;Biotechnology,Diagnostic Acumen;Observation,Science & Research;Public Health,S02,Science,Medical & Life Sciences Aspirant
STU0085,Student_85,Biotechnology;Creative Writing;Psychology;Biology,Analytical Thinking;Diagnostic Acumen,Biotechnology & Genetics;Public Health;Public Health,S02,Science,Medical & Life Sciences Aspirant
STU0086,Student_86,Chemistry;Physics;Psychology,Observation;Empathy,Medicine & Healthcare;Public Health,S05,Commerce,Medical & Life Sciences Aspirant
STU0087,Student_87,Physics;Chemistry,Diagnostic Acumen;Analytical Thinking;Illustration;Research,Public Health;Biotechnology & Genetics;Medicine & Healthcare;Pharmacy & Pharmacology,S11,Other,Medical & Life Sciences Aspirant
STU0088,Student_88,Biotechnology;Psychology,Analytical Thinking;Illustration;Observation;Research,Science & Research;Pharmacy & Pharmacology;Public Health;Pharmacy & Pharmacology,S02,Science,Medical & Life Sciences Aspirant
STU0089,Student_89,Physics;Biotechnology;Statistics;Biology,Research;Cross-Cultural Sensitivity,Public Health;Pharmacy & Pharmacology;Medicine & Healthcare,S02,Science,Medical & Life Sciences Aspirant
STU0090,Student_90,Chemistry;Biology;Psychology,Empathy;Diagnostic Acumen;Observation,Public Health;Science & Research,S02,Science,Medical & Life Sciences Aspirant
STU0091,Student_91,Biology;Physics;Chemistry;Biotechnology,Diagnostic Acumen;Analytical Thinking,Science & Research;Medicine & Healthcare,S02,Science,Medical & Life Sciences Aspirant
STU0092,Student_92,Physics;Psychology,Diagnostic Acumen;Research,Public Health;Biotechnology & Genetics;Science & Research;Medicine & Healthcare,S02,Science,Medical & Life Sciences Aspirant
STU0093,Student_93,Physics;Biotechnology;E-Commerce,Empathy;Spatial Aesthetics;Diagnostic Acumen,Design & Visual Arts;Public Health;Biotechnology & Genetics,S02,Science,Medical & Life Sciences Aspirant
STU0094,Student_94,Physics;Biology,Analytical Thinking;Diagnostic Acumen;Research;Observation,Science & Research;Medicine & Healthcare,S02,Science,Medical & Life Sciences Aspirant
STU0095,Student_95,Psychology;Physics;Biology;Chemistry,Research;Observation;Empathy;Analytical Thinking,Biotechnology & Genetics;Public Health;Medicine & Healthcare;Public Health,S02,Science,Medical & Life Sciences Aspirant
STU0096,Student_96,Psychology;Physics;Urban Planning Basics;Biology,Analytical Thinking;Observation;Research;Diagnostic Acumen,Medicine & Healthcare;Science & Research;Public Health;Biotechnology & Genetics,S02,Science,Medical & Life Sciences Aspirant
STU0097,Student_97,Biology;Psychology,Analytical Thinking;Diagnostic Acumen,Public Health;Science & Research,S05,Commerce,Medical & Life Sciences Aspirant
STU0098,Student_98,Philosophy;Physics,Research;Observation;Analytical Thinking,Real Estate & Property;Science & Research,S02,Science,Medical & Life Sciences Aspirant
STU0099,Student_99,Mobile Application Development;Physics,Observation;Research;Empathy,Science & Research;Pharmacy & Pharmacology;Nutrition & Dietetics,S02,Science,Medical & Life Sciences Aspirant
STU0100,Student_100,Renewable Energy Technology;Biology;Biotechnology,Diagnostic Acumen;Observation,Science & Research;Pharmacy & Pharmacology;Public Health;Biotechnology & Genetics,S01,Science,Medical & Life Sciences Aspirant
STU0101,Student_101,Computer Science;Biology;Mathematics,Problem Solving;Logical Thinking;Operations Management,Science & Research;Renewable Energy;Technology;Public Health,S03,Science,Interdisciplinary STEM Aspirant
STU0102,Student_102,Computer Science;Physics;Chemistry;Biology,Statistical Reasoning;Research;Logical Thinking,Artificial Intelligence & Data;Technology,S04,Commerce,Interdisciplinary STEM Aspirant
STU0103,Student_103,Mathematics;Computer Science,Data Interpretation;Research;Statistical Reasoning;Problem Solving,Media & Communication;Technology;Science & Research;Artificial Intelligence & Data,S03,Science,Interdisciplinary STEM Aspirant
STU0104,Student_104,Chemistry;Mathematics,Data Interpretation;Statistical Reasoning;Research,Artificial Intelligence & Data;Biotechnology & Genetics;Renewable Energy,S03,Science,Interdisciplinary STEM Aspirant
STU0105,Student_105,Mathematics;Computer Science;Physics;Biology,Statistical Reasoning;Conceptual Ideation,Technology;Renewable Energy;Science & Research,S03,Science,Interdisciplinary STEM Aspirant
STU0106,Student_106,Physics;Biology;Mathematics,Research;Statistical Reasoning;Data Interpretation;Problem Solving,Artificial Intelligence & Data;Technology;Culinary Arts & Gastronomy,S03,Science,Interdisciplinary STEM Aspirant
STU0107,Student_107,Computer Science;Biology,Data Interpretation;Problem Solving;Logical Thinking;Research,Science & Research;Artificial Intelligence & Data,S03,Science,Interdisciplinary STEM Aspirant
STU0108,Student_108,Biology;Chemistry;Computer Science;Microbiology,Problem Solving;Numerical Ability;Statistical Reasoning;Logical Thinking,Artificial Intelligence & Data;Biotechnology & Genetics,S03,Science,Interdisciplinary STEM Aspirant
STU0109,Student_109,Chemistry;Physics;Mathematics,Logical Thinking;Problem Solving,Artificial Intelligence & Data;Technology;Renewable Energy,S03,Science,Interdisciplinary STEM Aspirant
STU0110,Student_110,Chemistry;Physics;Biology;Computer Science,Data Interpretation;Research;Logical Thinking,Artificial Intelligence & Data;Renewable Energy;Human Rights & Advocacy,S03,Science,Interdisciplinary STEM Aspirant
STU0111,Student_111,Astronomy;Mathematics;Chemistry,Problem Solving;Research;Data Interpretation,Artificial Intelligence & Data;Biotechnology & Genetics;Technology,S03,Science,Interdisciplinary STEM Aspirant
STU0112,Student_112,Biology;Chemistry;Mathematics;Computer Science,Research;Data Interpretation;Logical Thinking;Statistical Reasoning,Technology;Biotechnology & Genetics;Artificial Intelligence & Data;Renewable Energy,S03,Science,Interdisciplinary STEM Aspirant
STU0113,Student_113,Biology;Chemistry;Computer Science,Statistical Reasoning;Problem Solving;Logical Thinking;Data Interpretation,Renewable Energy;Technology;Science & Research;Biotechnology & Genetics,S03,Science,Interdisciplinary STEM Aspirant
STU0114,Student_114,Physics;Mathematics;Chemistry,Data Interpretation;Problem Solving;Statistical Reasoning,Technology;Nursing & Patient Care,S03,Science,Interdisciplinary STEM Aspirant
STU0115,Student_115,Digital Photography;Mathematics;Physics;Computer Science,Research;Data Interpretation;Statistical Reasoning;Network Engineering,Science & Research;Artificial Intelligence & Data,S03,Science,Interdisciplinary STEM Aspirant
STU0116,Student_116,Astronomy;Computer Science,Problem Solving;Statistical Reasoning;Logical Thinking,Renewable Energy;Technology;Artificial Intelligence & Data,S03,Science,Interdisciplinary STEM Aspirant
STU0117,Student_117,Computer Science;Mathematics,Data Interpretation;Logical Thinking,Science & Research;Artificial Intelligence & Data;Renewable Energy;Technology,S03,Science,Interdisciplinary STEM Aspirant
STU0118,Student_118,Physics;Chemistry;Biology;Mathematics,CAD Modeling;Data Interpretation;Problem Solving,Renewable Energy;Technology;Investments & Banking,S03,Science,Interdisciplinary STEM Aspirant
STU0119,Student_119,Biology;Banking & Insurance;Physics,Logical Thinking;Design Thinking;Statistical Reasoning;Problem Solving,Artificial Intelligence & Data;Biotechnology & Genetics;Renewable Energy;Science & Research,S03,Science,Interdisciplinary STEM Aspirant
STU0120,Student_120,Chemistry;Mathematics;Computer Science;Biology,Persuasion;Statistical Reasoning,Technology;Biotechnology & Genetics;Renewable Energy;Science & Research,S03,Science,Interdisciplinary STEM Aspirant
STU0121,Student_121,Biology;Computer Science,Statistical Reasoning;Problem Solving;Research;Data Interpretation,Biotechnology & Genetics;Technology;Science & Research,S03,Science,Interdisciplinary STEM Aspirant
STU0122,Student_122,Computer Science;Physics,Problem Solving;Logical Thinking;Research,Renewable Energy;Fashion & Apparel;Artificial Intelligence & Data,S03,Science,Interdisciplinary STEM Aspirant
STU0123,Student_123,Biology;Mathematics;Computer Science,Problem Solving;Logical Thinking;Data Interpretation;Spatial Aesthetics,Technology;Artificial Intelligence & Data,S03,Science,Interdisciplinary STEM Aspirant
STU0124,Student_124,Mathematics;Chemistry;Biology,Research;Problem Solving;Logical Thinking,Renewable Energy;Science & Research;Artificial Intelligence & Data;Medicine & Healthcare,S03,Science,Interdisciplinary STEM Aspirant
STU0125,Student_125,Biology;Chemistry;Physics;Marine Biology,Statistical Reasoning;Logical Thinking,Science & Research;Renewable Energy;Technology;Biotechnology & Genetics,S03,Science,Interdisciplinary STEM Aspirant
STU0126,Student_126,Chemistry;Physics;Computer Science,Logical Thinking;Research;Numerical Ability,Economics;Artificial Intelligence & Data;Technology,S03,Science,Interdisciplinary STEM Aspirant
STU0127,Student_127,Physics;Mathematics;Chemistry,Statistical Reasoning;Research,Biotechnology & Genetics;Science & Research;Artificial Intelligence & Data;Nutrition & Dietetics,S03,Science,Interdisciplinary STEM Aspirant
STU0128,Student_128,Chemistry;Physics;Biology,Statistical Reasoning;Problem Solving;Logical Thinking,Artificial Intelligence & Data;Renewable Energy,S03,Science,Interdisciplinary STEM Aspirant
STU0129,Student_129,Physics;Human Rights & Gender Studies;Computer Science;Mathematics,Logical Thinking;Research,Biotechnology & Genetics;Technology;Renewable Energy,S03,Science,Interdisciplinary STEM Aspirant
STU0130,Student_130,Chemistry;Physics;Mathematics,Algorithmic Thinking;Data Interpretation;Statistical Reasoning;Problem Solving,Animation & Motion Graphics;Science & Research;Biotechnology & Genetics,S03,Science,Interdisciplinary STEM Aspirant
STU0131,Student_131,Physics;Biology;Mathematics,Research;Logical Thinking;Algorithmic Thinking;Problem Solving,Renewable Energy;Artificial Intelligence & Data;Science & Research;Technology,S03,Science,Interdisciplinary STEM Aspirant
STU0132,Student_132,Biology;Physics;Mathematics;Computer Science,Data Interpretation;Statistical Reasoning;Research,Biotechnology & Genetics;Science & Research;International Relations & Diplomacy;Renewable Energy,S03,Science,Interdisciplinary STEM Aspirant
STU0133,Student_133,Chemistry;Mathematics,Logical Thinking;Problem Solving;Research,Biotechnology & Genetics;Artificial Intelligence & Data,S11,Other,Interdisciplinary STEM Aspirant
STU0134,Student_134,Mathematics;Chemistry;Computer Science,Research;Data Interpretation;Logical Thinking,Technology;Artificial Intelligence & Data;Renewable Energy;Biotechnology & Genetics;Business & Entrepreneurship,S03,Science,Interdisciplinary STEM Aspirant
STU0135,Student_135,Physics;Chemistry;Biology,Cross-Cultural Sensitivity;Logical Thinking;Statistical Reasoning,Science & Research;Technology;Renewable Energy;Biotechnology & Genetics,S03,Science,Interdisciplinary STEM Aspirant
STU0136,Student_136,Computer Science;Chemistry,Logical Thinking;Research;Problem Solving,Biotechnology & Genetics;Technology;Journalism & Mass Media,S03,Science,Interdisciplinary STEM Aspirant
STU0137,Student_137,Biology;Mathematics;Computer Science,Data Interpretation;Research;Logical Thinking,Artificial Intelligence & Data;Biotechnology & Genetics;Human Resources & People Operations,S03,Science,Interdisciplinary STEM Aspirant
STU0138,Student_138,Chemistry;Physics;Biology;Computer Science,Critical Evaluation;Logical Thinking;Statistical Reasoning;Data Interpretation,Technology;Renewable Energy;Biotechnology & Genetics,S03,Science,Interdisciplinary STEM Aspirant
STU0139,Student_139,Biology;Physics,Analytical Thinking;Statistical Reasoning,Economics;Biotechnology & Genetics;Renewable Energy;Science & Research,S03,Science,Interdisciplinary STEM Aspirant
STU0140,Student_140,Computer Science;Biology,Data Interpretation;Logical Thinking,Artificial Intelligence & Data;Biotechnology & Genetics;Renewable Energy;Science & Research,S03,Science,Interdisciplinary STEM Aspirant
STU0141,Student_141,Biology;Chemistry,Data Interpretation;Statistical Reasoning,Science & Research;Artificial Intelligence & Data;Renewable Energy,S03,Science,Interdisciplinary STEM Aspirant
STU0142,Student_142,Chemistry;Biology,Statistical Reasoning;Technical Documentation,Renewable Energy;Technology,S03,Science,Interdisciplinary STEM Aspirant
STU0143,Student_143,Mathematics;Physics;Computer Science,Research;Logical Thinking;Problem Solving;Data Interpretation,Biotechnology & Genetics;Technology;Science & Research,S03,Science,Interdisciplinary STEM Aspirant
STU0144,Student_144,Biology;Physics,Statistical Reasoning;Research;Project Management,Artificial Intelligence & Data;Environmental Studies & Sustainability;Renewable Energy;Technology,S03,Science,Interdisciplinary STEM Aspirant
