stream_id,skill_id,interest_id,weight
S05,SK028,I050,0.7
S04,SK018,I041,0.68
S04,SK057,I014,0.92
S06,SK051,I033,0.77
S05,SK037,I005,0.86
S11,SK026,I029,0.85
S02,SK065,I009,0.82
S02,SK054,I027,0.76
S11,SK066,I025,0.79
S06,SK056,I057,0.78
S10,SK029,I041,0.8
S01,SK032,I043,0.68
S05,SK008,I001,0.72
S05,SK073,I043,0.78
S12,SK054,I028,0.88
S11,SK057,I035,0.72
S03,SK035,I053,0.7
S09,SK003,I020,0.8
S05,SK057,I050,0.89
S09,SK043,I020,0.97
S02,SK060,I045,0.73
S02,SK054,I025,0.95
S05,SK033,I013,0.71
S03,SK076,I028,0.75
S02,SK056,I053,0.89
S04,SK021,I029,0.63
S06,SK067,I055,0.69
S04,SK029,I044,0.67
S08,SK027,I036,0.76
S09,SK023,I041,0.87
S05,SK008,I038,0.97
S01,SK014,I042,0.89
S05,SK034,I059,0.75
S07,SK032,I056,0.95
S05,SK055,I055,0.84
S09,SK042,I016,0.75
S02,SK063,I029,0.91
S05,SK021,I049,0.85
S11,SK024,I012,0.86
S08,SK041,I027,0.7
S05,SK006,I029,0.95
S03,SK069,I031,0.76
S01,SK020,I009,0.95
S01,SK016,I047,0.95
S12,SK059,I002,0.69
S02,SK003,I005,0.67
S01,SK057,I040,0.92
S06,SK004,I021,0.96
S03,SK057,I022,0.71
S08,SK062,I034,0.77
S11,SK041,I005,0.75
S12,SK002,I045,0.76
S05,SK020,I049,0.9
S05,SK019,I005,0.69
S05,SK075,I036,0.89
S07,SK063,I013,0.69
S12,SK014,I007,0.75
S05,SK049,I039,0.83
S08,SK005,I009,0.89
S03,SK033,I021,0.69
S02,SK032,I049,0.8
S10,SK011,I042,0.98
S02,SK048,I031,0.83
S10,SK005,I006,0.78
S03,SK052,I032,0.67
S01,SK006,I058,0.77
S08,SK034,I015,0.89
S09,SK045,I008,0.71
S02,SK016,I051,0.97
S08,SK073,I020,0.81
S09,SK016,I048,0.98
S01,SK061,I015,0.72
S08,SK019,I021,0.9
S10,SK030,I005,0.88
S12,SK044,I036,0.84
S11,SK027,I053,0.72
S03,SK043,I056,0.68
S04,SK071,I014,0.84
S07,SK046,I054,0.95
S04,SK069,I009,0.78
S02,SK044,I043,0.87
S10,SK039,I001,0.96
S02,SK044,I001,0.93
S09,SK022,I008,0.73
S11,SK074,I015,0.8
S07,SK071,I009,0.85
S11,SK029,I019,0.66
S08,SK034,I040,0.81
S01,SK069,I022,0.96
S02,SK074,I044,0.85
S02,SK017,I040,0.75
S12,SK023,I008,0.65
S10,SK012,I039,0.85
S06,SK011,I049,0.7
S11,SK023,I053,0.87
S07,SK044,I012,0.81
S10,SK013,I058,0.82
S07,SK058,I024,0.77
S11,SK056,I026,0.66
S05,SK028,I025,0.79
S07,SK074,I027,0.85
S03,SK011,I032,0.72
S07,SK064,I024,0.96
S10,SK063,I015,0.77
S08,SK019,I013,0.85
S07,SK057,I058,0.97
S11,SK015,I002,0.93
S11,SK013,I006,0.83
S11,SK024,I032,0.86
S02,SK048,I005,0.82
S07,SK041,I018,0.89
S09,SK045,I041,0.89
S04,SK013,I054,0.81
S08,SK052,I044,0.82
S03,SK028,I017,0.87
S10,SK038,I052,0.73
S05,SK003,I021,0.71
S07,SK051,I033,0.8
S10,SK010,I024,0.73
S01,SK057,I054,0.83
S12,SK011,I033,0.95
S05,SK062,I013,0.63
S06,SK023,I003,0.73
S12,SK055,I021,0.91
S01,SK047,I001,0.75
S04,SK009,I031,0.8
S01,SK043,I040,0.75
S09,SK031,I055,0.72
S07,SK063,I049,0.78
S10,SK039,I048,0.82
S04,SK072,I021,0.95
S05,SK019,I016,0.68
S05,SK055,I037,0.78
S08,SK052,I024,0.66
S01,SK045,I057,0.67
S11,SK027,I052,0.89
S03,SK034,I022,0.86
S03,SK063,I008,0.66
S06,SK061,I003,0.86
S05,SK040,I059,0.76
S04,SK046,I004,0.78
S07,SK012,I005,0.75
S12,SK076,I047,0.78
S09,SK074,I044,0.94
S11,SK046,I033,0.71
S06,SK031,I047,0.87
S12,SK067,I044,0.8
S09,SK053,I020,0.74
S01,SK019,I042,0.88
S09,SK047,I005,0.95
S05,SK013,I051,0.88
S12,SK009,I020,0.88
S07,SK070,I019,0.86
S10,SK073,I031,0.74
S08,SK005,I054,0.78
S07,SK008,I005,0.87
S07,SK048,I033,0.84
S10,SK052,I043,0.71
S01,SK047,I058,0.96
S05,SK052,I034,0.68
S09,SK019,I043,0.82
S12,SK076,I041,0.9
S08,SK075,I037,0.73
S01,SK066,I026,0.87
S08,SK002,I024,0.67
S07,SK025,I049,0.7
S05,SK031,I007,0.62
S08,SK066,I009,0.76
S08,SK052,I033,0.66
S12,SK057,I056,0.72
S02,SK020,I016,0.69
S10,SK032,I032,0.83
S11,SK012,I015,0.72
S08,SK041,I031,0.77
S09,SK070,I017,0.83
S12,SK073,I027,0.77
S05,SK036,I038,0.67
S06,SK046,I051,0.67
S12,SK023,I059,0.88
S01,SK068,I001,0.87
S03,SK021,I016,0.71
S03,SK072,I012,0.7
S01,SK022,I043,0.68
S01,SK043,I001,0.87
S10,SK014,I001,0.78
S04,SK017,I013,0.89
S01,SK052,I055,0.76
S04,SK053,I008,0.7
S08,SK074,I042,0.87
S02,SK015,I037,0.96
S05,SK015,I019,0.87
S12,SK019,I050,0.64
S11,SK039,I016,0.73
S01,SK074,I013,0.89
S04,SK023,I008,0.87
S11,SK002,I031,0.92
S09,SK040,I047,0.66
S09,SK074,I021,0.84
S04,SK005,I038,0.77
S01,SK039,I027,0.83
S02,SK012,I019,0.72
S01,SK023,I048,0.96
S12,SK019,I005,0.83
S02,SK059,I046,0.7
S10,SK026,I031,0.75
S06,SK040,I052,0.91
S07,SK048,I030,0.92
S05,SK064,I030,0.9
S01,SK032,I031,0.85
S09,SK038,I024,0.85
S02,SK061,I002,0.9
S10,SK047,I007,0.68
S05,SK050,I030,0.84
S01,SK014,I050,0.79
S06,SK033,I004,0.86
S09,SK047,I005,0.73
S09,SK024,I049,0.83
S05,SK035,I002,0.71
S07,SK052,I028,0.94
S11,SK073,I002,0.91
S06,SK006,I021,0.96
S08,SK027,I027,0.82
S05,SK076,I032,0.82
S01,SK039,I040,0.97
S09,SK061,I049,0.83
S05,SK042,I009,0.94
S10,SK068,I003,0.93
S04,SK031,I038,0.76
S04,SK015,I007,0.73
S01,SK038,I002,0.71
S04,SK046,I024,0.79
S10,SK035,I007,0.69
S01,SK053,I052,0.87
S02,SK032,I013,0.93
S08,SK025,I012,0.85
S11,SK008,I037,0.77
S05,SK061,I005,0.68
S06,SK068,I028,0.69
S07,SK014,I006,0.76
S10,SK042,I056,0.78
S01,SK028,I033,0.74
S08,SK068,I015,0.86
S11,SK055,I007,0.89
S03,SK068,I057,0.8
S11,SK042,I056,0.7
S11,SK067,I018,0.82
S01,SK034,I003,0.69
S12,SK042,I038,0.65
S10,SK003,I033,0.92
S10,SK001,I027,0.7
S11,SK075,I038,0.93
S04,SK062,I007,0.73
S06,SK019,I006,0.85
S11,SK053,I044,0.81
S07,SK016,I017,0.91
S07,SK039,I031,0.73
S06,SK065,I036,0.66
S03,SK005,I040,0.82
S03,SK058,I045,0.85
S03,SK076,I038,0.98
S11,SK005,I029,0.74
S04,SK067,I020,0.8
S07,SK058,I014,0.98
S05,SK058,I003,0.67
S06,SK043,I051,0.7
S06,SK068,I003,0.87
S11,SK023,I036,0.71
S12,SK033,I006,0.77
S03,SK010,I044,0.73
S05,SK052,I027,0.89
S09,SK076,I020,0.66
S01,SK039,I019,0.76
S12,SK036,I006,0.87
S01,SK039,I030,0.75
S05,SK011,I006,0.79
S12,SK035,I047,0.94
S01,SK010,I057,0.88
S07,SK046,I040,0.98
S12,SK020,I018,0.68
S08,SK021,I027,0.87
S10,SK042,I025,0.74
S06,SK044,I044,0.85
S01,SK032,I059,0.93
S04,SK002,I017,0.83
S02,SK037,I016,0.74
S02,SK035,I040,0.92
S10,SK027,I038,0.7
S04,SK044,I052,0.69
S10,SK010,I044,0.96
S04,SK038,I002,0.97
S12,SK002,I040,0.86
S09,SK030,I025,0.84
S08,SK016,I031,0.62
S04,SK019,I009,0.83
S08,SK052,I053,0.79
S03,SK074,I050,0.94
S07,SK041,I043,0.76
S02,SK026,I009,0.87
S12,SK031,I004,0.73
S08,SK027,I045,0.88
S12,SK016,I056,0.79
S08,SK004,I039,0.81
S08,SK039,I038,0.76
S01,SK021,I048,0.8
S02,SK063,I007,0.94
S02,SK013,I054,0.71
S11,SK032,I034,0.71
S03,SK014,I055,0.7
S10,SK070,I032,0.71
S12,SK021,I056,0.96
S07,SK007,I004,0.74
S03,SK037,I045,0.93
S03,SK074,I038,0.96
S07,SK075,I010,0.71
S03,SK056,I011,0.62
S12,SK018,I027,0.89
S05,SK023,I009,0.78
S07,SK018,I016,0.91
S06,SK017,I039,0.77
S04,SK048,I007,0.87
S07,SK026,I053,0.82
S03,SK065,I018,0.92
S05,SK060,I017,0.9
S04,SK003,I034,0.77
S08,SK008,I046,0.7
S06,SK037,I025,0.78
S06,SK062,I035,0.87
S07,SK020,I020,0.7
S05,SK053,I022,0.92
S10,SK050,I044,0.95
S04,SK031,I055,0.77
S03,SK063,I006,0.81
S06,SK037,I016,0.75
S08,SK066,I035,0.81
S09,SK053,I012,0.9
S07,SK065,I042,0.71
S03,SK058,I003,0.69
S08,SK049,I010,0.92
S09,SK028,I038,0.67
S05,SK059,I033,0.85
S07,SK057,I006,0.92
S07,SK061,I032,0.91
S10,SK032,I045,0.72
S06,SK024,I043,0.87
S10,SK062,I043,0.81
S12,SK017,I057,0.86
S09,SK070,I009,0.87
S06,SK051,I009,0.85
S11,SK005,I025,0.91
S07,SK045,I029,0.66
S12,SK004,I022,0.92
S11,SK019,I023,0.75
S11,SK046,I001,0.81
S02,SK042,I012,0.81
S08,SK047,I045,0.73
S12,SK074,I041,0.68
S03,SK029,I042,0.7
S11,SK037,I009,0.71
S12,SK042,I054,0.73
S07,SK074,I017,0.86
S09,SK042,I055,0.7
S05,SK072,I022,0.87
S11,SK021,I022,0.83
S08,SK011,I023,0.95
S03,SK001,I043,0.94
S12,SK023,I049,0.81
S08,SK071,I018,0.92
S01,SK015,I057,0.97
S03,SK005,I030,0.68
S06,SK019,I059,0.77
S10,SK006,I015,0.72
S09,SK062,I059,0.73
S09,SK049,I030,0.83
S11,SK055,I011,0.85
S10,SK020,I048,0.78
S07,SK017,I016,0.7
S12,SK032,I018,0.86
S10,SK002,I045,0.71
S03,SK061,I046,0.95
S05,SK047,I006,0.79
S05,SK066,I041,0.69
S12,SK055,I053,0.72
S09,SK019,I052,0.8
S03,SK001,I027,0.61
S05,SK001,I012,0.94
S11,SK076,I045,0.82
S11,SK055,I012,0.72
S05,SK040,I021,0.63
S03,SK006,I057,0.79
S06,SK043,I009,0.66
S02,SK043,I029,0.6
S11,SK067,I036,0.84
S04,SK045,I038,0.75
S07,SK010,I029,0.71
S07,SK005,I038,0.85
S07,SK062,I030,0.72
S06,SK008,I033,0.88
S06,SK007,I056,0.87
S09,SK072,I032,0.67
S10,SK073,I013,0.85
S02,SK046,I052,0.74
S11,SK051,I030,0.9
S06,SK011,I002,0.73
S07,SK067,I058,0.74
S09,SK067,I029,0.69
S07,SK003,I015,0.68
S08,SK035,I013,0.92
S08,SK061,I007,0.87
S05,SK036,I037,0.72
S12,SK007,I003,0.68
S03,SK057,I007,0.82
S05,SK055,I032,0.85
S08,SK018,I055,0.82
S01,SK007,I006,0.86
S12,SK017,I016,0.7
S01,SK028,I033,0.81
S12,SK035,I034,0.67
S03,SK042,I039,0.73
S06,SK059,I048,0.63
S07,SK057,I003,0.69
S08,SK004,I028,0.93
S03,SK025,I057,0.89
S06,SK043,I005,0.76
S03,SK071,I049,0.83
S07,SK062,I034,0.79
S07,SK006,I053,0.94
S04,SK062,I052,0.75
S04,SK017,I006,0.95
S10,SK063,I047,0.86
S02,SK040,I037,0.87
S10,SK043,I029,0.76
S03,SK020,I005,0.8
S11,SK050,I001,0.88
S06,SK043,I053,0.69
S11,SK062,I038,0.78
S06,SK059,I005,0.69
S04,SK013,I029,0.7
S04,SK042,I051,0.67
S06,SK058,I015,0.83
S01,SK072,I057,0.94
S07,SK017,I021,0.86
S08,SK050,I033,0.8
S02,SK048,I011,0.85
S06,SK059,I017,0.68
S08,SK061,I056,0.93
S10,SK010,I006,0.74
S04,SK035,I054,0.7
S03,SK007,I014,0.74
S05,SK010,I056,0.75
S03,SK038,I003,0.73
S05,SK024,I002,0.71
S03,SK063,I056,0.7
S10,SK002,I002,0.82
S10,SK043,I025,0.9
S11,SK038,I027,0.95
S09,SK008,I036,0.79
S11,SK057,I047,0.88
S09,SK028,I031,0.72
S04,SK004,I058,0.88
S07,SK019,I021,0.93
S03,SK029,I050,0.82
S02,SK030,I024,0.71
S05,SK017,I012,0.86
S03,SK028,I052,0.67
S12,SK039,I014,0.82
S09,SK054,I036,0.82
S01,SK014,I057,0.69
S05,SK007,I019,0.85
S09,SK059,I048,0.98
S02,SK067,I032,0.86
S11,SK038,I054,0.88
S05,SK073,I042,0.86
S02,SK071,I017,0.77
S05,SK006,I028,0.66
S02,SK017,I041,0.94
S02,SK041,I008,0.9
S09,SK061,I049,0.93
S02,SK049,I034,0.7
S04,SK020,I057,0.79
S08,SK074,I001,0.74
S11,SK066,I058,0.87
S10,SK049,I011,0.7
S02,SK061,I055,0.64
S04,SK039,I058,0.66
S02,SK012,I025,0.79
S07,SK045,I009,0.94
S11,SK041,I039,0.78
S03,SK052,I056,0.82
S05,SK046,I005,0.78
S07,SK040,I007,0.67
S06,SK021,I012,0.92
S09,SK032,I041,0.95
S10,SK052,I003,0.74
S04,SK061,I002,0.85
S06,SK045,I002,0.79
S08,SK051,I024,0.91
S08,SK060,I021,0.74
S08,SK038,I057,0.66
S06,SK021,I024,0.77
S04,SK059,I017,0.87
S05,SK040,I003,0.72
S02,SK036,I003,0.97
S01,SK025,I026,0.76
S12,SK030,I028,0.87
S01,SK023,I057,0.79
S02,SK037,I056,0.79
S10,SK068,I017,0.92
S04,SK056,I007,0.9
S12,SK051,I032,0.61
S10,SK035,I051,0.98
S09,SK043,I042,0.68
S10,SK048,I008,0.78
S10,SK072,I033,0.78
S09,SK019,I002,0.74
S09,SK028,I049,0.73
S03,SK038,I033,0.88
S04,SK047,I006,0.91
S03,SK059,I001,0.89
S02,SK004,I016,0.73
S08,SK015,I027,0.84
S08,SK015,I013,0.66
S01,SK030,I015,0.66
S11,SK018,I037,0.78
S01,SK069,I044,0.89
S01,SK022,I037,0.75
S12,SK040,I027,0.88
S07,SK036,I041,0.97
S04,SK047,I033,0.85
S04,SK029,I042,0.67
S10,SK049,I046,0.91
S08,SK023,I030,0.95
S05,SK069,I040,0.62
S02,SK074,I019,0.8
S09,SK020,I011,0.76
S11,SK014,I044,0.91
S06,SK025,I019,0.77
S10,SK034,I021,0.92
S05,SK028,I010,0.87
S10,SK022,I024,0.66
S12,SK036,I056,0.87
S08,SK068,I041,0.89
S10,SK063,I030,0.71
S02,SK010,I022,0.66
S01,SK023,I052,0.97
S07,SK008,I011,0.8
S12,SK044,I058,0.88
S02,SK056,I032,0.66
S12,SK020,I035,0.76
S11,SK026,I030,0.69
S03,SK032,I008,0.83
S07,SK005,I039,0.7
S02,SK029,I032,0.72
S08,SK070,I020,0.66
S06,SK060,I045,0.81
S07,SK023,I051,0.77
S01,SK056,I009,0.66
S09,SK006,I037,0.94
S01,SK071,I029,0.95
S07,SK021,I002,0.7
S11,SK049,I005,0.8
S04,SK054,I032,0.94
S08,SK065,I026,0.82
S06,SK041,I029,0.7
S08,SK058,I049,0.74
S02,SK063,I007,0.79
S05,SK046,I007,0.84
S10,SK032,I037,0.82
S12,SK018,I045,0.65
S04,SK047,I034,0.82
S10,SK036,I035,0.97
S12,SK055,I013,0.98
S09,SK050,I016,0.73
S08,SK029,I020,0.9
S04,SK037,I015,0.9
S01,SK065,I028,0.92
S06,SK016,I003,0.93
S02,SK024,I013,0.72
S12,SK036,I045,0.96
S04,SK021,I007,0.69
S02,SK026,I005,0.85
S08,SK003,I024,0.76
S05,SK040,I018,0.89
S12,SK037,I041,0.89
S03,SK052,I053,0.9
S11,SK024,I024,0.88
S07,SK011,I003,0.96
S02,SK018,I010,0.73
S03,SK060,I027,0.67
S12,SK020,I059,0.79
S10,SK023,I055,0.75
S10,SK043,I054,0.85
S12,SK032,I036,0.85
S03,SK067,I024,0.86
S04,SK035,I035,0.89
S01,SK055,I036,0.65
S03,SK013,I049,0.72
S06,SK068,I024,0.67
S03,SK053,I022,0.76
S10,SK054,I020,0.81
S12,SK056,I051,0.82
S06,SK070,I025,0.64
S01,SK060,I029,0.8
S06,SK008,I029,0.68
S09,SK007,I016,0.89
S04,SK049,I040,0.88
S10,SK073,I016,0.84
S05,SK019,I048,0.86
S09,SK027,I024,0.75
S02,SK052,I047,0.7
S02,SK061,I057,0.67
S06,SK006,I051,0.72
S05,SK030,I033,0.83
S02,SK036,I057,0.85
S09,SK054,I040,0.9
S05,SK036,I028,0.91
S06,SK068,I006,0.86
S02,SK036,I029,0.68
S12,SK073,I055,0.81
S06,SK025,I024,0.87
S11,SK060,I046,0.72
S01,SK010,I001,0.8
S10,SK063,I037,0.91
S03,SK008,I040,0.97
S08,SK033,I046,0.71
S06,SK053,I037,0.91
S02,SK015,I050,0.92
S01,SK032,I018,0.7
S08,SK034,I047,0.77
S10,SK037,I020,0.84
S03,SK034,I048,0.89
S12,SK002,I017,0.72
S04,SK026,I009,0.91
S06,SK026,I052,0.85
S11,SK011,I007,0.9
S03,SK057,I059,0.74
S02,SK041,I058,0.83
S08,SK061,I034,0.8
S03,SK016,I030,0.88
S10,SK051,I050,0.76
S12,SK034,I011,0.77
S04,SK059,I024,0.87
S09,SK038,I015,0.92
S07,SK058,I030,0.87
S01,SK052,I036,0.93
S05,SK052,I028,0.88
S04,SK030,I030,0.86
S10,SK035,I051,0.78
S03,SK051,I042,0.68
S10,SK040,I029,0.77
S12,SK056,I008,0.8
S06,SK061,I029,0.85
S03,SK066,I048,0.94
S06,SK047,I020,0.71
S09,SK068,I021,0.88
S08,SK007,I037,0.84
S02,SK020,I046,0.72
S08,SK074,I015,0.83
S04,SK060,I059,0.88
S04,SK024,I011,0.71
S03,SK074,I049,0.66
S09,SK033,I053,0.65
S04,SK046,I015,0.86
S10,SK001,I035,0.83
S04,SK009,I016,0.86
S10,SK044,I017,0.9
S10,SK025,I054,0.95
S06,SK056,I006,0.96
S11,SK045,I002,0.81
S11,SK012,I029,0.94
S05,SK054,I019,0.69
S03,SK049,I025,0.98
S12,SK050,I006,0.89
S11,SK069,I012,0.77
S04,SK042,I048,0.79
S08,SK072,I045,0.74
S10,SK011,I047,0.95
S09,SK020,I018,0.71
S03,SK031,I037,0.78
S02,SK021,I052,0.84
S01,SK071,I020,0.96
S10,SK004,I006,0.77
S09,SK046,I050,0.67
S04,SK074,I055,0.94
S02,SK011,I042,0.79
S04,SK051,I018,0.65
S02,SK075,I045,0.66
S09,SK046,I050,0.8
S08,SK016,I009,0.97
S04,SK059,I006,0.87
S09,SK040,I045,0.69
S06,SK073,I033,0.71
S06,SK008,I002,0.65
S04,SK074,I023,0.84
S03,SK035,I037,0.66
S02,SK031,I045,0.81
S01,SK015,I057,0.69
S09,SK071,I021,0.91
S03,SK059,I021,0.94
S09,SK075,I038,0.89
S06,SK026,I018,0.73
S05,SK011,I018,0.8
S05,SK048,I002,0.72
S05,SK055,I056,0.95
S09,SK024,I044,0.91
S10,SK045,I004,0.68
S03,SK019,I025,0.71
S08,SK048,I038,0.94
S09,SK009,I031,0.66
S10,SK025,I022,0.85
S08,SK014,I040,0.89
S11,SK062,I023,0.81
S07,SK041,I016,0.8
S12,SK017,I025,0.93
S11,SK039,I059,0.85
S11,SK053,I033,0.61
S11,SK051,I038,0.69
S11,SK054,I035,0.66
S05,SK045,I023,0.89
S03,SK009,I018,0.9
S10,SK058,I012,0.94
S11,SK016,I016,0.75
S06,SK074,I042,0.71
S08,SK014,I028,0.69
S05,SK056,I029,0.94
S10,SK071,I054,0.77
S02,SK053,I032,0.83
S07,SK013,I004,0.75
S05,SK044,I011,0.77
S12,SK046,I055,0.67
S05,SK042,I050,0.96
S06,SK026,I052,0.65
S12,SK010,I002,0.84
S04,SK004,I009,0.65
S03,SK054,I054,0.81
S09,SK015,I003,0.92
S08,SK046,I049,0.67
S07,SK044,I054,0.95
S09,SK046,I020,0.74
S06,SK005,I019,0.95
S06,SK061,I045,0.92
S02,SK068,I039,0.74
S07,SK009,I036,0.83
S01,SK032,I054,0.86
S04,SK005,I020,0.98
S04,SK048,I035,0.95
S02,SK030,I008,0.89
S09,SK013,I052,0.97
S09,SK055,I023,0.88
S12,SK057,I023,0.89
S08,SK019,I019,0.66
S01,SK010,I030,0.79
S02,SK040,I046,0.78
S11,SK029,I035,0.75
S08,SK036,I014,0.87
S08,SK074,I039,0.77
S03,SK028,I047,0.61
S10,SK046,I011,0.7
S12,SK013,I056,0.68
S07,SK020,I010,0.8
S03,SK054,I022,0.96
S08,SK032,I018,0.83
S03,SK020,I032,0.96
S03,SK076,I043,0.92
S09,SK049,I029,0.94
S01,SK052,I005,0.91
S06,SK029,I053,0.8
S04,SK060,I058,0.74
S05,SK010,I058,0.68
S03,SK010,I011,0.65
S03,SK073,I020,0.68
S09,SK008,I054,0.74
S04,SK033,I044,0.9
S01,SK066,I008,0.78
S08,SK066,I024,0.62
S03,SK075,I028,0.86
S11,SK046,I011,0.86
S04,SK038,I032,0.74
S07,SK047,I026,0.75
S04,SK034,I038,0.78
S07,SK052,I020,0.8
S09,SK007,I018,0.77
S04,SK032,I034,0.79
S06,SK055,I033,0.77
S03,SK012,I015,0.98
S11,SK059,I037,0.9
S10,SK023,I007,0.95
S09,SK003,I016,0.72
S06,SK035,I008,0.91
S02,SK049,I026,0.96
S01,SK032,I003,0.76
S08,SK070,I025,0.95
S12,SK012,I047,0.97
S04,SK032,I009,0.91
S04,SK070,I011,0.67
S10,SK051,I021,0.75
S03,SK064,I041,0.8
S09,SK070,I028,0.83
S07,SK061,I019,0.83
S08,SK033,I048,0.81
S09,SK065,I013,0.84
S02,SK049,I018,0.9
S07,SK008,I054,0.69
S10,SK070,I037,0.87
S06,SK066,I037,0.73
S03,SK036,I026,0.65
S12,SK048,I001,0.91
S12,SK048,I030,0.96
S11,SK046,I055,0.8
S11,SK020,I046,0.79
S11,SK025,I053,0.78
S09,SK049,I025,0.68
S05,SK063,I046,0.95
S07,SK071,I018,0.69
S02,SK046,I020,0.9
S06,SK059,I003,0.75
S06,SK046,I016,0.84
S08,SK001,I017,0.78
S02,SK036,I036,0.65
S04,SK008,I052,0.9
S06,SK007,I016,0.79
S08,SK037,I021,0.74
S08,SK044,I036,0.96
S04,SK055,I045,0.73
S11,SK065,I059,0.94
S12,SK004,I055,0.93
S11,SK027,I018,0.9
S03,SK034,I051,0.91
S02,SK032,I007,0.88
S04,SK070,I049,0.88
S07,SK010,I038,0.8
S12,SK051,I032,0.7
S04,SK048,I014,0.8
S12,SK035,I041,0.79
S06,SK031,I004,0.86
S06,SK066,I026,0.98
S11,SK047,I045,0.95
